tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
639,50:50.3,01:29.7,3186,Grove St PATH,40.71958612,-74.04311746,3211,Newark Ave,40.72152515,-74.04630454,42113,Subscriber,1988,2
171,54:00.5,56:51.5,3202,Newport PATH,40.7272235,-74.0337589,3638,Washington St,40.7242941,-74.0354826,42411,Subscriber,1993,1
154,54:06.5,56:40.8,3202,Newport PATH,40.7272235,-74.0337589,3638,Washington St,40.7242941,-74.0354826,26283,Subscriber,1994,1
965,55:43.2,11:49.0,3678,Fairmount Ave,40.72572614,-74.07195926,3185,City Hall,40.7177325,-74.043845,42333,Customer,1969,0
919,56:18.5,11:37.9,3678,Fairmount Ave,40.72572614,-74.07195926,3185,City Hall,40.7177325,-74.043845,42408,Customer,1969,0
383,00:20.0,06:43.8,3195,Sip Ave,40.7308971,-74.06391263,3201,Dey St,40.737711,-74.066921,42490,Subscriber,1988,1
350,01:55.1,07:45.3,3186,Grove St PATH,40.71958612,-74.04311746,3279,Dixon Mills,40.72163014,-74.04996783,42420,Subscriber,1980,1
384,05:22.0,11:46.1,3211,Newark Ave,40.72152515,-74.04630454,3203,Hamilton Park,40.72759597,-74.04424731,29617,Subscriber,1979,1
186,05:33.6,08:40.0,3203,Hamilton Park,40.72759597,-74.04424731,3211,Newark Ave,40.72152515,-74.04630454,29663,Subscriber,1991,1
831,06:50.2,20:42.0,3279,Dixon Mills,40.72163014,-74.04996783,3199,Newport Pkwy,40.7287448,-74.0321082,42228,Subscriber,1968,1
251,07:44.6,11:56.2,3186,Grove St PATH,40.71958612,-74.04311746,3483,Montgomery St,40.71942,-74.05099,42470,Subscriber,1982,1
1031,08:48.8,26:00.4,3186,Grove St PATH,40.71958612,-74.04311746,3195,Sip Ave,40.7308971,-74.06391263,42483,Subscriber,1985,2
397,11:47.8,18:25.6,3199,Newport Pkwy,40.7287448,-74.0321082,3186,Grove St PATH,40.71958612,-74.04311746,26431,Subscriber,1978,1
227,11:53.4,15:41.3,3199,Newport Pkwy,40.7287448,-74.0321082,3638,Washington St,40.7242941,-74.0354826,26155,Subscriber,1991,1
330,12:06.1,17:36.4,3195,Sip Ave,40.7308971,-74.06391263,3678,Fairmount Ave,40.72572614,-74.07195926,42402,Subscriber,1976,1
110,12:29.3,14:20.1,3202,Newport PATH,40.7272235,-74.0337589,3199,Newport Pkwy,40.7287448,-74.0321082,42166,Subscriber,1992,2
361,13:06.9,19:08.1,3195,Sip Ave,40.7308971,-74.06391263,3212,Christ Hospital,40.73478582,-74.05044364,42380,Subscriber,1989,1
603,13:14.1,23:17.4,3213,Van Vorst Park,40.71848892,-74.04772663,3269,Brunswick & 6th,40.72601173,-74.05038893,42192,Subscriber,1988,1
466,14:16.6,22:03.3,3195,Sip Ave,40.7308971,-74.06391263,3679,Bergen Ave,40.72210379,-74.071455,42423,Subscriber,1956,1
667,17:38.1,28:45.6,3269,Brunswick & 6th,40.72601173,-74.05038893,3640,Journal Square,40.73367,-74.0625,42397,Subscriber,1991,1
438,18:17.8,25:36.2,3185,City Hall,40.7177325,-74.043845,3192,Liberty Light Rail,40.7112423,-74.0557013,42408,Subscriber,1989,1
893,21:47.4,36:41.2,3195,Sip Ave,40.7308971,-74.06391263,3678,Fairmount Ave,40.72572614,-74.07195926,42398,Subscriber,1981,2
1091,23:08.3,41:20.2,3276,Marin Light Rail,40.71458404,-74.04281706,3195,Sip Ave,40.7308971,-74.06391263,42307,Subscriber,1989,1
266,23:32.1,27:58.5,3276,Marin Light Rail,40.71458404,-74.04281706,3186,Grove St PATH,40.71958612,-74.04311746,29440,Subscriber,1973,1
603,23:42.3,33:46.0,3186,Grove St PATH,40.71958612,-74.04311746,3186,Grove St PATH,40.71958612,-74.04311746,42371,Subscriber,1989,2
