tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
140,56:27.0,58:47.0,3186,Grove St PATH,40.71958612,-74.04311746,3213,Van Vorst Park,40.71848892,-74.04772663,26219,Subscriber,1991,1
87,56:41.1,58:08.7,3186,Grove St PATH,40.71958612,-74.04311746,3273,Manila & 1st,40.72165072,-74.04288411,29547,Subscriber,1984,1
264,56:52.4,01:17.1,3639,Harborside,40.7192517,-74.034234,3186,Grove St PATH,40.71958612,-74.04311746,26290,Subscriber,1982,2
535,58:21.5,07:17.0,3186,Grove St PATH,40.71958612,-74.04311746,3192,Liberty Light Rail,40.7112423,-74.0557013,29642,Subscriber,1986,1
805,59:21.8,12:47.2,3186,Grove St PATH,40.71958612,-74.04311746,3270,Jersey & 6th St,40.72528911,-74.04557168,26263,Subscriber,1981,1
347,00:45.1,06:32.5,3275,Columbus Drive,40.7183552,-74.03891444,3199,Newport Pkwy,40.7287448,-74.0321082,29520,Subscriber,1980,1
185,02:53.8,05:59.1,3186,Grove St PATH,40.71958612,-74.04311746,3213,Van Vorst Park,40.71848892,-74.04772663,26290,Subscriber,1987,1
281,03:44.6,08:25.9,3639,Harborside,40.7192517,-74.034234,3273,Manila & 1st,40.72165072,-74.04288411,29472,Subscriber,1989,1
292,05:19.0,10:11.4,3202,Newport PATH,40.7272235,-74.0337589,3203,Hamilton Park,40.72759597,-74.04424731,29611,Subscriber,1980,1
2971,05:36.2,55:07.7,3202,Newport PATH,40.7272235,-74.0337589,3791,Hoboken Ave at Monmouth St,40.73520838,-74.04696375,29283,Subscriber,1976,1
379,07:01.3,13:20.9,3203,Hamilton Park,40.72759597,-74.04424731,3202,Newport PATH,40.7272235,-74.0337589,29677,Subscriber,1993,1
195,07:33.5,10:49.0,3272,Jersey & 3rd,40.72333159,-74.04595256,3269,Brunswick & 6th,40.72601173,-74.05038893,29259,Subscriber,1986,2
265,09:04.1,13:29.5,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3267,Morris Canal,40.71241882,-74.03852552,26206,Subscriber,1981,1
166,10:35.8,13:22.3,3185,City Hall,40.7177325,-74.043845,3276,Marin Light Rail,40.71458404,-74.04281706,29655,Subscriber,1980,1
94,15:59.1,17:33.5,3214,Essex Light Rail,40.7127742,-74.0364857,3267,Morris Canal,40.71241882,-74.03852552,29666,Subscriber,1981,0
419,17:06.6,24:05.8,3185,City Hall,40.7177325,-74.043845,3681,Grand St,40.71517768,-74.03768331,29572,Subscriber,1991,1
592,17:56.1,27:48.5,3211,Newark Ave,40.72152515,-74.04630454,3277,Communipaw & Berry Lane,40.71435837,-74.06661093,26234,Subscriber,1975,1
